	sponsor	cosponsor
2511	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Ciscomani, Juan [R-AZ-6]
2512	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Miller-Meeks, Mariannette [R-IA-1]
2513	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Golden, Jared F. [D-ME-2]
2514	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Finstad, Brad [R-MN-1]
2515	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Fallon, Pat [R-TX-4]
2516	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Mast, Brian J. [R-FL-21]
2517	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Nunn, Zachary [R-IA-3]
2518	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Webster, Daniel [R-FL-11]
2519	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Fitzpatrick, Brian K. [R-PA-1]
2520	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Carter, John R. [R-TX-31]
2521	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Perez, Marie Gluesenkamp [D-WA-3]
2522	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Granger, Kay [R-TX-12]
2523	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Huizenga, Bill [R-MI-4]
2524	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Newhouse, Dan [R-WA-4]
2525	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Mace, Nancy [R-SC-1]
2526	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Hunt, Wesley [R-TX-38]
2527	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Tenney, Claudia [R-NY-24]
2528	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Joyce, David P. [R-OH-14]
2529	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Ezell, Mike [R-MS-4]
2530	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Franklin, C. Scott [R-FL-18]
2531	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Wittman, Robert J. [R-VA-1]
2532	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Hinson, Ashley [R-IA-2]
2533	Rep. Kiggans, Jennifer A. [R-VA-2]	Rep. Bergman, Jack [R-MI-1]
2534	Rep. Perez, Marie Gluesenkamp [D-WA-3]	Rep. Duncan, Jeff [R-SC-3]
2535	Rep. Perez, Marie Gluesenkamp [D-WA-3]	Rep. DeGette, Diana [D-CO-1]
2536	Rep. Biggs, Andy [R-AZ-5]	Rep. Rosendale Sr., Matthew M. [R-MT-2]
2537	Rep. Biggs, Andy [R-AZ-5]	Rep. Gaetz, Matt [R-FL-1]
2538	Rep. Biggs, Andy [R-AZ-5]	Rep. Good, Bob [R-VA-5]
2539	Rep. Biggs, Andy [R-AZ-5]	Rep. Roy, Chip [R-TX-21]
2540	Rep. Biggs, Andy [R-AZ-5]	Rep. Crane, Elijah [R-AZ-2]
2541	Rep. Johnson, Dusty [R-SD-At Large]	Rep. Bacon, Don [R-NE-2]
2542	Rep. Johnson, Dusty [R-SD-At Large]	Rep. Guthrie, Brett [R-KY-2]
2543	Rep. De La Cruz, Monica [R-TX-15]	Rep. Crockett, Jasmine [D-TX-30]
2544	Rep. De La Cruz, Monica [R-TX-15]	Rep. Gonzales, Tony [R-TX-23]
2545	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Cohen, Steve [D-TN-9]
2546	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Hoyle, Val T. [D-OR-4]
2547	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Trone, David J. [D-MD-6]
2548	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Soto, Darren [D-FL-9]
2549	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Baird, James R. [R-IN-4]
2550	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Carbajal, Salud O. [D-CA-24]
2551	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Grothman, Glenn [R-WI-6]
2552	Rep. Van Drew, Jefferson [R-NJ-2]	Del. Moylan, James C. [R-GU-At Large]
2553	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Ruiz, Raul [D-CA-25]
2554	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Yakym, Rudy [R-IN-2]
2555	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Caraveo, Yadira [D-CO-8]
2556	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Bacon, Don [R-NE-2]
2557	Rep. Van Drew, Jefferson [R-NJ-2]	Rep. Garbarino, Andrew R. [R-NY-2]
2558	Rep. Ross, Deborah K. [D-NC-2]	Rep. Joyce, David P. [R-OH-14]
2559	Rep. Ross, Deborah K. [D-NC-2]	Rep. Castor, Kathy [D-FL-14]
2560	Rep. Ross, Deborah K. [D-NC-2]	Rep. Bacon, Don [R-NE-2]
2561	Rep. Ross, Deborah K. [D-NC-2]	Rep. Larsen, Rick [D-WA-2]
2562	Rep. Ross, Deborah K. [D-NC-2]	Rep. Kamlager-Dove, Sydney [D-CA-37]
2563	Rep. Ross, Deborah K. [D-NC-2]	Rep. Davis, Donald G. [D-NC-1]
2564	Rep. Ross, Deborah K. [D-NC-2]	Rep. Mullin, Kevin [D-CA-15]
2565	"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]"	Rep. Schakowsky, Janice D. [D-IL-9]
2566	"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]"	Rep. Allen, Rick W. [R-GA-12]
2567	Rep. Curtis, John R. [R-UT-3]	Rep. Allen, Rick W. [R-GA-12]
2568	Rep. Curtis, John R. [R-UT-3]	Rep. Duncan, Jeff [R-SC-3]
2569	Rep. Curtis, John R. [R-UT-3]	Rep. Walberg, Tim [R-MI-5]
2570	Rep. Curtis, John R. [R-UT-3]	Rep. Bucshon, Larry [R-IN-8]
2571	Rep. McClain, Lisa C. [R-MI-9]	Rep. Porter, Katie [D-CA-47]
2572	Rep. Gallego, Ruben [D-AZ-3]	Rep. Duarte, John S. [R-CA-13]
2573	Rep. Gallego, Ruben [D-AZ-3]	Rep. Huffman, Jared [D-CA-2]
2574	Rep. Davis, Danny K. [D-IL-7]	Rep. Horsford, Steven [D-NV-4]
2575	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Cuellar, Henry [D-TX-28]
2576	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Duncan, Jeff [R-SC-3]
2577	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Harshbarger, Diana [R-TN-1]
2578	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Palmer, Gary J. [R-AL-6]
2579	Rep. Griffith, H. Morgan [R-VA-9]	"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]"
2580	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Dunn, Neal P. [R-FL-2]
2581	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Lesko, Debbie [R-AZ-8]
2582	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Miller-Meeks, Mariannette [R-IA-1]
2583	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Moolenaar, John R. [R-MI-2]
2584	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Pocan, Mark [D-WI-2]
2585	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Nickel, Wiley [D-NC-13]
2586	Rep. Griffith, H. Morgan [R-VA-9]	Rep. Cline, Ben [R-VA-6]
2587	Rep. Biggs, Andy [R-AZ-5]	Rep. Rosendale Sr., Matthew M. [R-MT-2]
2588	Rep. Biggs, Andy [R-AZ-5]	Rep. Gaetz, Matt [R-FL-1]
2589	Rep. Biggs, Andy [R-AZ-5]	Rep. Good, Bob [R-VA-5]
2590	Rep. Biggs, Andy [R-AZ-5]	Rep. Roy, Chip [R-TX-21]
2591	Rep. Biggs, Andy [R-AZ-5]	Rep. Crane, Elijah [R-AZ-2]
2592	Rep. Graves, Sam [R-MO-6]	Rescom. González-Colón, Jenniffer [R-PR-At Large]
2593	Rep. Graves, Sam [R-MO-6]	Rep. Guest, Michael [R-MS-3]
2594	Rep. Graves, Sam [R-MO-6]	Rep. Mann, Tracey [R-KS-1]
2595	Rep. Graves, Sam [R-MO-6]	Rep. Molinaro, Marcus J. [R-NY-19]
2596	Rep. Graves, Sam [R-MO-6]	Rep. Webster, Daniel [R-FL-11]
2597	Rep. Graves, Sam [R-MO-6]	Rep. Van Drew, Jefferson [R-NJ-2]
2598	Rep. Graves, Sam [R-MO-6]	Rep. Peltola, Mary Sattler [D-AK-At Large]
2599	Rep. Tokuda, Jill N. [D-HI-2]	Rep. Case, Ed [D-HI-1]
2600	Rep. Tokuda, Jill N. [D-HI-2]	Rep. McCormick, Richard [R-GA-6]
2601	Rep. Clark, Katherine M. [D-MA-5]	Rep. Bonamici, Suzanne [D-OR-1]
2602	Rep. Clark, Katherine M. [D-MA-5]	Rep. Gomez, Jimmy [D-CA-34]
2603	Rep. Clark, Katherine M. [D-MA-5]	Rep. McClellan, Jennifer L. [D-VA-4]
2604	Rep. Clark, Katherine M. [D-MA-5]	Rep. Pettersen, Brittany [D-CO-7]
2605	Rep. Clark, Katherine M. [D-MA-5]	Rep. Tokuda, Jill N. [D-HI-2]
2606	Rep. Nunn, Zachary [R-IA-3]	Rep. Beatty, Joyce [D-OH-3]
2607	Rep. Nunn, Zachary [R-IA-3]	Rep. Meuser, Daniel [R-PA-9]
2608	Rep. Nunn, Zachary [R-IA-3]	Rep. Sherman, Brad [D-CA-32]
2609	Rep. Salinas, Andrea [D-OR-6]	Rep. Bonamici, Suzanne [D-OR-1]
2610	Rep. Salinas, Andrea [D-OR-6]	Rep. Blumenauer, Earl [D-OR-3]
2611	Rep. Salinas, Andrea [D-OR-6]	Rep. Hoyle, Val T. [D-OR-4]
2612	Rep. Nadler, Jerrold [D-NY-12]	Rep. Jayapal, Pramila [D-WA-7]
2613	Rep. D'Esposito, Anthony [R-NY-4]	Rep. Gottheimer, Josh [D-NJ-5]
2614	Rep. D'Esposito, Anthony [R-NY-4]	Rep. Guest, Michael [R-MS-3]
2615	Rep. Raskin, Jamie [D-MD-8]	Rep. Bacon, Don [R-NE-2]
2616	Rep. Raskin, Jamie [D-MD-8]	Rep. Salinas, Andrea [D-OR-6]
2617	Rep. Raskin, Jamie [D-MD-8]	Rep. Nunn, Zachary [R-IA-3]
2618	Rep. Raskin, Jamie [D-MD-8]	Rep. Napolitano, Grace F. [D-CA-31]
2619	Rep. Raskin, Jamie [D-MD-8]	Rep. Molinaro, Marcus J. [R-NY-19]
2620	Rep. Dingell, Debbie [D-MI-6]	Rep. Fitzpatrick, Brian K. [R-PA-1]
2621	Rep. Dingell, Debbie [D-MI-6]	Rep. Kuster, Ann M. [D-NH-2]
2622	Rep. Dingell, Debbie [D-MI-6]	Rep. Pappas, Chris [D-NH-1]
2623	Rep. Dingell, Debbie [D-MI-6]	Rep. Trahan, Lori [D-MA-3]
2624	Rep. Dingell, Debbie [D-MI-6]	Rep. Cohen, Steve [D-TN-9]
2625	Rep. Dingell, Debbie [D-MI-6]	Rep. Scholten, Hillary J. [D-MI-3]
2626	Rep. Dingell, Debbie [D-MI-6]	Rep. Ross, Deborah K. [D-NC-2]
2627	Rep. Dingell, Debbie [D-MI-6]	Rep. Lawler, Michael [R-NY-17]
2628	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Blunt Rochester, Lisa [D-DE-At Large]
2629	Rep. Schakowsky, Janice D. [D-IL-9]	Del. Norton, Eleanor Holmes [D-DC-At Large]
2630	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Tlaib, Rashida [D-MI-12]
2631	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Velazquez, Nydia M. [D-NY-7]
2632	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Grijalva, Raúl M. [D-AZ-7]
2633	Rep. Schakowsky, Janice D. [D-IL-9]	"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA-4]"
2634	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Meng, Grace [D-NY-6]
2635	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Watson Coleman, Bonnie [D-NJ-12]
2636	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Chu, Judy [D-CA-28]
2637	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Cherfilus-McCormick, Sheila [D-FL-20]
2638	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Lofgren, Zoe [D-CA-18]
2639	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Williams, Nikema [D-GA-5]
2640	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Brown, Shontel M. [D-OH-11]
2641	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Titus, Dina [D-NV-1]
2642	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Jackson Lee, Sheila [D-TX-18]
2643	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Stansbury, Melanie A. [D-NM-1]
2644	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Dingell, Debbie [D-MI-6]
2645	Rep. Schakowsky, Janice D. [D-IL-9]	Rep. Matsui, Doris O. [D-CA-7]
2646	Rep. Schiff, Adam B. [D-CA-30]	Rep. Hayes, Jahana [D-CT-5]
2647	Rep. Schiff, Adam B. [D-CA-30]	Rep. Takano, Mark [D-CA-39]
2648	Rep. Schiff, Adam B. [D-CA-30]	Rep. Larson, John B. [D-CT-1]
2649	Rep. Schiff, Adam B. [D-CA-30]	Rep. McBath, Lucy [D-GA-7]
2650	Rep. Schiff, Adam B. [D-CA-30]	Rep. Ruppersberger, C. A. Dutch [D-MD-2]
2651	Rep. Schiff, Adam B. [D-CA-30]	Rep. Kilmer, Derek [D-WA-6]
2652	Rep. Schiff, Adam B. [D-CA-30]	Rep. Velazquez, Nydia M. [D-NY-7]
2653	Rep. Schiff, Adam B. [D-CA-30]	Rep. Titus, Dina [D-NV-1]
2654	Rep. Schiff, Adam B. [D-CA-30]	Rep. McCollum, Betty [D-MN-4]
2655	Rep. Schiff, Adam B. [D-CA-30]	Rep. Bowman, Jamaal [D-NY-16]
2656	Rep. Schiff, Adam B. [D-CA-30]	Rep. Carson, Andre [D-IN-7]
2657	Rep. Schiff, Adam B. [D-CA-30]	Rep. Tokuda, Jill N. [D-HI-2]
2658	Rep. Schiff, Adam B. [D-CA-30]	Rep. Wilson, Frederica S. [D-FL-24]
2659	Rep. Schiff, Adam B. [D-CA-30]	Rep. Morelle, Joseph D. [D-NY-25]
2660	Rep. Schiff, Adam B. [D-CA-30]	Rep. Bishop, Sanford D., Jr. [D-GA-2]
2661	Rep. Schiff, Adam B. [D-CA-30]	Rep. Porter, Katie [D-CA-47]
2662	Rep. Schiff, Adam B. [D-CA-30]	Rep. Neguse, Joe [D-CO-2]
2663	Rep. Schiff, Adam B. [D-CA-30]	Rep. Norcross, Donald [D-NJ-1]
2664	Rep. Schiff, Adam B. [D-CA-30]	"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA-4]"
2665	Rep. Schiff, Adam B. [D-CA-30]	Rep. Frankel, Lois [D-FL-22]
2666	Rep. Schiff, Adam B. [D-CA-30]	Rep. Meng, Grace [D-NY-6]
2667	Rep. Schiff, Adam B. [D-CA-30]	Rep. DeSaulnier, Mark [D-CA-10]
2668	Rep. Schiff, Adam B. [D-CA-30]	Rep. Lee, Summer L. [D-PA-12]
2669	Rep. Schiff, Adam B. [D-CA-30]	Rep. Pocan, Mark [D-WI-2]
2670	Rep. Schiff, Adam B. [D-CA-30]	Rep. Gottheimer, Josh [D-NJ-5]
2671	Rep. Schiff, Adam B. [D-CA-30]	Rep. Scanlon, Mary Gay [D-PA-5]
2672	Rep. Schiff, Adam B. [D-CA-30]	Rep. McGovern, James P. [D-MA-2]
2673	Rep. Schiff, Adam B. [D-CA-30]	Rep. Fletcher, Lizzie [D-TX-7]
2674	Rep. Schiff, Adam B. [D-CA-30]	Rep. McGarvey, Morgan [D-KY-3]
2675	Rep. Schiff, Adam B. [D-CA-30]	Rep. Magaziner, Seth [D-RI-2]
2676	Rep. Schiff, Adam B. [D-CA-30]	Rep. Landsman, Greg [D-OH-1]
2677	Rep. Schiff, Adam B. [D-CA-30]	Rep. Kim, Andy [D-NJ-3]
2678	Rep. Schiff, Adam B. [D-CA-30]	Rep. Garcia, Sylvia R. [D-TX-29]
2679	Rep. Graves, Garret [R-LA-6]	Rep. Thompson, Mike [D-CA-4]
2680	Rep. Graves, Garret [R-LA-6]	Rep. Duarte, John S. [R-CA-13]
2681	Rep. Graves, Garret [R-LA-6]	Rep. De La Cruz, Monica [R-TX-15]
2682	Rep. McGovern, James P. [D-MA-2]	Rep. Blumenauer, Earl [D-OR-3]
2683	Rep. McGovern, James P. [D-MA-2]	Rep. Meng, Grace [D-NY-6]
2684	Rep. McGovern, James P. [D-MA-2]	Del. Norton, Eleanor Holmes [D-DC-At Large]
2685	Rep. McGovern, James P. [D-MA-2]	Rep. Hayes, Jahana [D-CT-5]
2686	Rep. McGovern, James P. [D-MA-2]	Rep. Krishnamoorthi, Raja [D-IL-8]
2687	Rep. McGovern, James P. [D-MA-2]	Rep. Khanna, Ro [D-CA-17]
2688	Rep. McGovern, James P. [D-MA-2]	Rep. Pocan, Mark [D-WI-2]
2689	Rep. McGovern, James P. [D-MA-2]	Rep. Ocasio-Cortez, Alexandria [D-NY-14]
2690	Rep. McGovern, James P. [D-MA-2]	Rep. Chu, Judy [D-CA-28]
2691	Rep. McGovern, James P. [D-MA-2]	Rep. Payne, Donald M., Jr. [D-NJ-10]
2692	Rep. McGovern, James P. [D-MA-2]	Rep. Kamlager-Dove, Sydney [D-CA-37]
2693	Rep. McGovern, James P. [D-MA-2]	Rep. Lofgren, Zoe [D-CA-18]
2694	Rep. McGovern, James P. [D-MA-2]	Rep. Raskin, Jamie [D-MD-8]
2695	Rep. McGovern, James P. [D-MA-2]	Rep. Escobar, Veronica [D-TX-16]
2696	Rep. McGovern, James P. [D-MA-2]	Rep. Tlaib, Rashida [D-MI-12]
2697	Rep. Biggs, Andy [R-AZ-5]	Rep. Perry, Scott [R-PA-10]
2698	Rep. Gallego, Ruben [D-AZ-3]	Rep. DeGette, Diana [D-CO-1]
2699	Rep. Gallego, Ruben [D-AZ-3]	Del. Norton, Eleanor Holmes [D-DC-At Large]
2700	Rep. Gallego, Ruben [D-AZ-3]	Rep. Watson Coleman, Bonnie [D-NJ-12]
2701	Rep. Gallego, Ruben [D-AZ-3]	Rep. Davids, Sharice [D-KS-3]
2702	Rep. Gallego, Ruben [D-AZ-3]	Rep. Casten, Sean [D-IL-6]
2703	Rep. Gallego, Ruben [D-AZ-3]	Rep. Barragan, Nanette Diaz [D-CA-44]
2704	Rep. Gallego, Ruben [D-AZ-3]	Rep. Cohen, Steve [D-TN-9]
2705	Rep. Gallego, Ruben [D-AZ-3]	Rep. Schakowsky, Janice D. [D-IL-9]
2706	Rep. Gallego, Ruben [D-AZ-3]	Rep. Stansbury, Melanie Ann [D-NM-1]
2707	Rep. Gallego, Ruben [D-AZ-3]	Rep. Pingree, Chellie [D-ME-1]
2708	Rep. Gallego, Ruben [D-AZ-3]	Rep. Clarke, Yvette D. [D-NY-9]
2709	Rep. Gallego, Ruben [D-AZ-3]	Rep. Chu, Judy [D-CA-28]
2710	Rep. Gallego, Ruben [D-AZ-3]	Rep. Huffman, Jared [D-CA-2]
2711	Rep. Gallego, Ruben [D-AZ-3]	Rep. Smith, Adam [D-WA-9]
2712	Rep. Gallego, Ruben [D-AZ-3]	Rep. Brownley, Julia [D-CA-26]
2713	Rep. Gallego, Ruben [D-AZ-3]	Rep. Krishnamoorthi, Raja [D-IL-8]
2714	Rep. Gallego, Ruben [D-AZ-3]	Rep. DeSaulnier, Mark [D-CA-10]
2715	Rep. Gallego, Ruben [D-AZ-3]	Rep. DelBene, Suzan K. [D-WA-1]
2716	Rep. Gallego, Ruben [D-AZ-3]	Rep. McCollum, Betty [D-MN-4]
2717	Rep. Gallego, Ruben [D-AZ-3]	Rep. Neguse, Joe [D-CO-2]
2718	Rep. Gallego, Ruben [D-AZ-3]	Rep. Beyer, Donald S., Jr. [D-VA-8]
2719	Rep. Gallego, Ruben [D-AZ-3]	Rep. Carbajal, Salud O. [D-CA-24]
2720	Rep. Gallego, Ruben [D-AZ-3]	Rep. Lee, Barbara [D-CA-12]
2721	Rep. Gallego, Ruben [D-AZ-3]	Rep. Tonko, Paul [D-NY-20]
2722	Rep. Gallego, Ruben [D-AZ-3]	Rep. Panetta, Jimmy [D-CA-19]
2723	Rep. Gallego, Ruben [D-AZ-3]	Rep. Tokuda, Jill N. [D-HI-2]
2724	Rep. Gallego, Ruben [D-AZ-3]	Rep. Lofgren, Zoe [D-CA-18]
2725	Rep. Gallego, Ruben [D-AZ-3]	Rep. Jacobs, Sara [D-CA-51]
2726	Rep. Gallego, Ruben [D-AZ-3]	Rep. Pocan, Mark [D-WI-2]
2727	Rep. Gallego, Ruben [D-AZ-3]	Rep. Blumenauer, Earl [D-OR-3]
2728	Rep. Gallego, Ruben [D-AZ-3]	Rep. Thompson, Mike [D-CA-4]
2729	Rep. Gallego, Ruben [D-AZ-3]	Rep. Tlaib, Rashida [D-MI-12]
2730	Rep. Gallego, Ruben [D-AZ-3]	Rep. Foster, Bill [D-IL-11]
2731	Rep. Gallego, Ruben [D-AZ-3]	Rep. Lieu, Ted [D-CA-36]
2732	Rep. Gallego, Ruben [D-AZ-3]	Rep. Porter, Katie [D-CA-47]
2733	Rep. Gallego, Ruben [D-AZ-3]	Rep. Evans, Dwight [D-PA-3]
2734	Rep. Gallego, Ruben [D-AZ-3]	Rep. Salinas, Andrea [D-OR-6]
2735	Rep. Castor, Kathy [D-FL-14]	Rep. Tonko, Paul [D-NY-20]
2736	Rep. Castor, Kathy [D-FL-14]	Rep. Peters, Scott H. [D-CA-50]
2737	Rep. Castor, Kathy [D-FL-14]	Rep. Casten, Sean [D-IL-6]
2738	Rep. Castor, Kathy [D-FL-14]	Rep. Kuster, Ann M. [D-NH-2]
2739	Rep. Castor, Kathy [D-FL-14]	Rep. Schrier, Kim [D-WA-8]
2740	Rep. Steel, Michelle [R-CA-45]	Rep. Bera, Ami [D-CA-6]
2741	Rep. Steel, Michelle [R-CA-45]	Rep. Schweikert, David [R-AZ-1]
2742	Rep. Steel, Michelle [R-CA-45]	Rep. Cherfilus-McCormick, Sheila [D-FL-20]
2743	Rep. Steel, Michelle [R-CA-45]	Rep. Balderson, Troy [R-OH-12]
2744	Del. Norton, Eleanor Holmes [D-DC-At Large]	Rep. Mfume, Kweisi [D-MD-7]
2745	Rep. Ross, Deborah K. [D-NC-2]	Rep. Castor, Kathy [D-FL-14]
2746	Rep. Panetta, Jimmy [D-CA-19]	Rep. Aderholt, Robert B. [R-AL-4]
2747	Rep. Panetta, Jimmy [D-CA-19]	Rep. Titus, Dina [D-NV-1]
2748	Rep. Panetta, Jimmy [D-CA-19]	Rep. LaHood, Darin [R-IL-16]
2749	Rep. Panetta, Jimmy [D-CA-19]	Rep. Bera, Ami [D-CA-6]
2750	Rep. Panetta, Jimmy [D-CA-19]	Rep. Beyer, Donald S., Jr. [D-VA-8]
2751	Rep. Panetta, Jimmy [D-CA-19]	Rep. Kelly, Mike [R-PA-16]
2752	Rep. Panetta, Jimmy [D-CA-19]	Rep. Wenstrup, Brad R. [R-OH-2]
2753	Rep. Panetta, Jimmy [D-CA-19]	Rep. Reschenthaler, Guy [R-PA-14]
2754	Rep. Panetta, Jimmy [D-CA-19]	Rep. Connolly, Gerald E. [D-VA-11]
2755	Rep. Panetta, Jimmy [D-CA-19]	Rep. McCaul, Michael T. [R-TX-10]
2756	Rep. Panetta, Jimmy [D-CA-19]	Rep. Thompson, Mike [D-CA-4]
2757	Rep. Panetta, Jimmy [D-CA-19]	Rep. Fitzpatrick, Brian K. [R-PA-1]
2758	Rep. Panetta, Jimmy [D-CA-19]	Rep. Lamborn, Doug [R-CO-5]
2759	Rep. Panetta, Jimmy [D-CA-19]	Rep. Buck, Ken [R-CO-4]
2760	Rep. Panetta, Jimmy [D-CA-19]	Rep. Feenstra, Randy [R-IA-4]
2761	Rep. Panetta, Jimmy [D-CA-19]	Rep. Kim, Young [R-CA-40]
2762	Rep. Panetta, Jimmy [D-CA-19]	Rep. Tenney, Claudia [R-NY-24]
2763	Rep. Panetta, Jimmy [D-CA-19]	Rep. Schweikert, David [R-AZ-1]
2764	Rep. Panetta, Jimmy [D-CA-19]	Rep. Hunt, Wesley [R-TX-38]
2765	Rep. Panetta, Jimmy [D-CA-19]	Rep. Molinaro, Marcus J. [R-NY-19]
2766	Rep. Panetta, Jimmy [D-CA-19]	Rep. Crenshaw, Dan [R-TX-2]
2767	Rep. Panetta, Jimmy [D-CA-19]	Rep. Gosar, Paul A. [R-AZ-9]
2768	Rep. Panetta, Jimmy [D-CA-19]	Rep. Collins, Mike [R-GA-10]
2769	Rep. Panetta, Jimmy [D-CA-19]	Rep. Baird, James R. [R-IN-4]
2770	Rep. Panetta, Jimmy [D-CA-19]	Rep. Nehls, Troy E. [R-TX-22]
2771	Rep. Panetta, Jimmy [D-CA-19]	Rep. Ciscomani, Juan [R-AZ-6]
2772	Rep. Panetta, Jimmy [D-CA-19]	Rep. Burchett, Tim [R-TN-2]
2773	Rep. Panetta, Jimmy [D-CA-19]	Rep. Wilson, Joe [R-SC-2]
2774	Rep. Panetta, Jimmy [D-CA-19]	Rep. Bacon, Don [R-NE-2]
2775	Rep. Panetta, Jimmy [D-CA-19]	Rep. Biggs, Andy [R-AZ-5]
2776	Rep. Panetta, Jimmy [D-CA-19]	Rep. Kelly, Trent [R-MS-1]
2777	Rep. Panetta, Jimmy [D-CA-19]	Rep. Suozzi, Thomas R. [D-NY-3]
2778	Rep. Panetta, Jimmy [D-CA-19]	Rep. Moore, Blake D. [R-UT-1]
2779	Rep. Panetta, Jimmy [D-CA-19]	Rep. Crane, Elijah [R-AZ-2]
2780	Rep. Panetta, Jimmy [D-CA-19]	Rep. Buchanan, Vern [R-FL-16]
2781	Rep. Panetta, Jimmy [D-CA-19]	Rep. Moolenaar, John R. [R-MI-2]
2782	Rep. Panetta, Jimmy [D-CA-19]	Rep. Lawler, Michael [R-NY-17]
2783	Rep. Panetta, Jimmy [D-CA-19]	Rep. McCormick, Richard [R-GA-6]
2784	Rep. Panetta, Jimmy [D-CA-19]	Rep. Lieu, Ted [D-CA-36]
2785	Rep. Panetta, Jimmy [D-CA-19]	Rep. Van Duyne, Beth [R-TX-24]
2786	Rep. Panetta, Jimmy [D-CA-19]	Del. Radewagen, Aumua Amata Coleman [R-AS-At Large]
2787	Rep. Panetta, Jimmy [D-CA-19]	Rep. Cherfilus-McCormick, Sheila [D-FL-20]
2788	Rep. Panetta, Jimmy [D-CA-19]	Rep. Jackson, Jonathan L. [D-IL-1]
2789	Rep. Panetta, Jimmy [D-CA-19]	Rep. Jackson, Ronny [R-TX-13]
2790	Rep. Panetta, Jimmy [D-CA-19]	Rep. Miller, Carol D. [R-WV-1]
2791	Rep. Panetta, Jimmy [D-CA-19]	Rep. Williams, Roger [R-TX-25]
2792	Rep. Banks, Jim [R-IN-3]	Rep. Spanberger, Abigail Davis [D-VA-7]
2793	Rep. Banks, Jim [R-IN-3]	Rep. Perez, Marie Gluesenkamp [D-WA-3]
2794	Rep. Biggs, Andy [R-AZ-5]	Rep. Rosendale Sr., Matthew M. [R-MT-2]
2795	Rep. Biggs, Andy [R-AZ-5]	Rep. Gaetz, Matt [R-FL-1]
