	sponsor	cosponsor
70	Rep. Nehls, Troy E. [R-TX-22]	Rep. Kilmer, Derek [D-WA-6]
71	Rep. Scalise, Steve [R-LA-1]	Rep. Graves, Garret [R-LA-6]
72	Rep. Scalise, Steve [R-LA-1]	Rep. Letlow, Julia [R-LA-5]
73	Rep. Scalise, Steve [R-LA-1]	Rep. Higgins, Clay [R-LA-3]
74	Rep. Scalise, Steve [R-LA-1]	Rep. Carter, Troy [D-LA-2]
75	Rep. Cleaver, Emanuel [D-MO-5]	Rep. Armstrong, Kelly [R-ND-At Large]
76	Rep. Cleaver, Emanuel [D-MO-5]	Rep. Doggett, Lloyd [D-TX-37]
77	Rep. Cleaver, Emanuel [D-MO-5]	Del. Norton, Eleanor Holmes [D-DC-At Large]
78	Rep. Cleaver, Emanuel [D-MO-5]	Rep. Lee, Summer L. [D-PA-12]
79	Rep. Cleaver, Emanuel [D-MO-5]	Rep. Pingree, Chellie [D-ME-1]
80	Rep. Cleaver, Emanuel [D-MO-5]	Rep. Caraveo, Yadira [D-CO-8]
81	Rep. Cleaver, Emanuel [D-MO-5]	Rep. Levin, Mike [D-CA-49]
82	Rep. Cleaver, Emanuel [D-MO-5]	Rep. Neguse, Joe [D-CO-2]
83	Rep. Hayes, Jahana [D-CT-5]	Rep. Brown, Shontel M. [D-OH-11]
84	Rep. Hayes, Jahana [D-CT-5]	Del. Norton, Eleanor Holmes [D-DC-At Large]
85	Rep. Hayes, Jahana [D-CT-5]	Rep. Dingell, Debbie [D-MI-6]
86	Rep. Hayes, Jahana [D-CT-5]	"Rep. Johnson, Henry C. ""Hank"" [D-GA-4]"
87	Rep. Hayes, Jahana [D-CT-5]	Rep. Krishnamoorthi, Raja [D-IL-8]
88	Rep. Hayes, Jahana [D-CT-5]	Rep. Moulton, Seth [D-MA-6]
89	Rep. Hayes, Jahana [D-CT-5]	Rep. Watson Coleman, Bonnie [D-NJ-12]
90	Rep. Hayes, Jahana [D-CT-5]	Rep. Salinas, Andrea [D-OR-6]
91	Rep. Hayes, Jahana [D-CT-5]	Rep. Thanedar, Shri [D-MI-13]
92	Rep. Hayes, Jahana [D-CT-5]	Rep. Jackson Lee, Sheila [D-TX-18]
93	Rep. Hayes, Jahana [D-CT-5]	Rep. Williams, Nikema [D-GA-5]
94	Rep. Hayes, Jahana [D-CT-5]	Rep. Ramirez, Delia C. [D-IL-3]
95	Rep. Hayes, Jahana [D-CT-5]	Rep. Frost, Maxwell [D-FL-10]
96	Rep. Sánchez, Linda T. [D-CA-38]	Rep. Pocan, Mark [D-WI-2]
97	Rep. Sánchez, Linda T. [D-CA-38]	Rep. Schakowsky, Janice D. [D-IL-9]
98	Rep. Sánchez, Linda T. [D-CA-38]	Rep. Lee, Barbara [D-CA-12]
99	Rep. Sánchez, Linda T. [D-CA-38]	Rep. Cartwright, Matt [D-PA-8]
100	Rep. Sánchez, Linda T. [D-CA-38]	Rep. Lofgren, Zoe [D-CA-18]
101	Rep. Sánchez, Linda T. [D-CA-38]	Rep. Lynch, Stephen F. [D-MA-8]
102	Rep. Sánchez, Linda T. [D-CA-38]	Rep. Pingree, Chellie [D-ME-1]
103	Rep. Sánchez, Linda T. [D-CA-38]	Del. Norton, Eleanor Holmes [D-DC-At Large]
104	Rep. Sánchez, Linda T. [D-CA-38]	Rep. Cohen, Steve [D-TN-9]
105	Rep. Bost, Mike [R-IL-12]	Rep. Garamendi, John [D-CA-8]
106	Rep. Bost, Mike [R-IL-12]	Rep. Norcross, Donald [D-NJ-1]
107	Rep. Bost, Mike [R-IL-12]	Rep. Yakym, Rudy [R-IN-2]
108	Rep. Chu, Judy [D-CA-28]	Rep. Moore, Gwen [D-WI-4]
109	Rep. Chu, Judy [D-CA-28]	Rep. Evans, Dwight [D-PA-3]
110	Rep. Chu, Judy [D-CA-28]	Rep. Kildee, Daniel T. [D-MI-8]
111	Rep. Chu, Judy [D-CA-28]	Rep. Higgins, Brian [D-NY-26]
112	Rep. Chu, Judy [D-CA-28]	Rep. Gomez, Jimmy [D-CA-34]
113	Rep. Chu, Judy [D-CA-28]	Rep. Sewell, Terri A. [D-AL-7]
114	Rep. Chu, Judy [D-CA-28]	Rep. Watson Coleman, Bonnie [D-NJ-12]
115	Rep. Chu, Judy [D-CA-28]	Rep. Hayes, Jahana [D-CT-5]
116	Rep. Chu, Judy [D-CA-28]	Rep. Tlaib, Rashida [D-MI-12]
117	Rep. Chu, Judy [D-CA-28]	Rep. Tokuda, Jill N. [D-HI-2]
118	Rep. Lee, Barbara [D-CA-12]	Rep. Brown, Shontel M. [D-OH-11]
119	Rep. Lee, Barbara [D-CA-12]	Rep. Evans, Dwight [D-PA-3]
120	Rep. Lee, Barbara [D-CA-12]	Rep. Payne, Donald M., Jr. [D-NJ-10]
121	Rep. Lee, Barbara [D-CA-12]	Rep. McGovern, James P. [D-MA-2]
122	Rep. Lee, Barbara [D-CA-12]	Rep. Tokuda, Jill N. [D-HI-2]
123	Rep. Lee, Barbara [D-CA-12]	Rep. Pingree, Chellie [D-ME-1]
124	Rep. Lee, Barbara [D-CA-12]	Rep. Blumenauer, Earl [D-OR-3]
125	Rep. Lee, Barbara [D-CA-12]	Rep. Watson Coleman, Bonnie [D-NJ-12]
126	Rep. Lee, Barbara [D-CA-12]	Rep. Bonamici, Suzanne [D-OR-1]
127	Rep. Lee, Barbara [D-CA-12]	Rep. Sánchez, Linda T. [D-CA-38]
128	Rep. Lee, Barbara [D-CA-12]	Del. Norton, Eleanor Holmes [D-DC-At Large]
129	Rep. Lee, Barbara [D-CA-12]	Rep. Kim, Andy [D-NJ-3]
130	Rep. Lee, Barbara [D-CA-12]	Rep. DeSaulnier, Mark [D-CA-10]
131	Rep. Lee, Barbara [D-CA-12]	Rep. Clarke, Yvette D. [D-NY-9]
132	Rep. Lee, Barbara [D-CA-12]	Rep. Ruppersberger, C. A. Dutch [D-MD-2]
133	Rep. Lee, Barbara [D-CA-12]	Rep. Omar, Ilhan [D-MN-5]
134	Rep. Lee, Barbara [D-CA-12]	Rep. Smith, Adam [D-WA-9]
135	Rep. Lee, Barbara [D-CA-12]	Rep. Higgins, Brian [D-NY-26]
136	Rep. Lee, Barbara [D-CA-12]	Rep. Budzinski, Nikki [D-IL-13]
137	Rep. Lee, Barbara [D-CA-12]	Rep. Carson, Andre [D-IN-7]
138	Rep. Lee, Barbara [D-CA-12]	Rep. Meng, Grace [D-NY-6]
139	Rep. Lee, Barbara [D-CA-12]	Rep. Schiff, Adam B. [D-CA-30]
140	Rep. Lee, Barbara [D-CA-12]	Rep. Jackson, Jonathan L. [D-IL-1]
141	Rep. Lee, Barbara [D-CA-12]	Rep. Gottheimer, Josh [D-NJ-5]
142	Rep. Lee, Barbara [D-CA-12]	Rep. Bush, Cori [D-MO-1]
143	Rep. Lee, Barbara [D-CA-12]	Rep. Morelle, Joseph D. [D-NY-25]
144	Rep. Lee, Barbara [D-CA-12]	Rep. Cohen, Steve [D-TN-9]
145	Rep. Lee, Barbara [D-CA-12]	Rep. Adams, Alma S. [D-NC-12]
146	Rep. Lee, Barbara [D-CA-12]	Rep. Ramirez, Delia C. [D-IL-3]
147	Rep. Lee, Barbara [D-CA-12]	Rep. Porter, Katie [D-CA-47]
148	Rep. Lee, Barbara [D-CA-12]	Rep. Lee, Summer L. [D-PA-12]
149	Rep. Lee, Barbara [D-CA-12]	Rep. Krishnamoorthi, Raja [D-IL-8]
150	Rep. Lee, Barbara [D-CA-12]	"Rep. García, Jesús G. ""Chuy"" [D-IL-4]"
